voter_id,voter_name,date_of_birth,gender,nationality,registration_number,email,phone_number,cell_number,picture,registered_age,district_id,candidate_id,candidate_name,party_affiliation,biography,campaign_platform,photo_url,voting_time,vote,polling_station_id,vote_type
d20e6c33-e311-4933-80c9-d29f32284725,Same Clark,1953-04-21T16:04:02.853Z,male,GB,smallmeercat837,same.clark@example.com,0121 769 5009,07388 101019,https://randomuser.me/api/portraits/men/95.jpg,11,DIST_021,bffcdbdd-e612-4e50-a2e0-c135fbb908cd,Adrian Pearson,Tech Republic Party,A brief bio of the candidate.,Key campaign promises or platform.,https://randomuser.me/api/portraits/men/22.jpg,2024-09-16 09:55:24,1,PS45678,regular
d836cf87-2c24-4563-9e1e-d9bf36eea6cf,Sheryl Lowe,1985-11-22T14:54:54.352Z,female,GB,whitesnake654,sheryl.lowe@example.com,015396 38468,07050 372140,https://randomuser.me/api/portraits/women/19.jpg,3,DIST_004,bffcdbdd-e612-4e50-a2e0-c135fbb908cd,Adrian Pearson,Tech Republic Party,A brief bio of the candidate.,Key campaign promises or platform.,https://randomuser.me/api/portraits/men/22.jpg,2024-09-16 09:55:24,1,PS90123,regular
c7946f83-fb4a-4670-a38f-457f6c2a97be,Ralph Jensen,1964-06-05T11:27:52.792Z,male,GB,lazywolf330,ralph.jensen@example.com,015242 49765,07374 866179,https://randomuser.me/api/portraits/men/97.jpg,12,DIST_001,23ed8b4e-4267-4307-9992-bb669c776db3,Joe Crawford,Management Party,A brief bio of the candidate.,Key campaign promises or platform.,https://randomuser.me/api/portraits/men/42.jpg,2024-09-16 09:55:24,1,PS56789,regular
bf8fd315-42a5-4124-979a-ad037ae251e8,Mary Watson,1946-12-22T09:45:56.720Z,female,GB,redostrich864,mary.watson@example.com,0191 815 8128,07207 549041,https://randomuser.me/api/portraits/women/47.jpg,17,DIST_024,bffcdbdd-e612-4e50-a2e0-c135fbb908cd,Adrian Pearson,Tech Republic Party,A brief bio of the candidate.,Key campaign promises or platform.,https://randomuser.me/api/portraits/men/22.jpg,2024-09-16 09:55:24,1,PS89012,regular
a97c701c-9903-4894-b090-65a5e683ae45,Mario Moreno,1962-07-24T15:10:31.913Z,male,GB,purplebird470,mario.moreno@example.com,016977 3561,07813 937825,https://randomuser.me/api/portraits/men/37.jpg,9,DIST_009,bffcdbdd-e612-4e50-a2e0-c135fbb908cd,Adrian Pearson,Tech Republic Party,A brief bio of the candidate.,Key campaign promises or platform.,https://randomuser.me/api/portraits/men/22.jpg,2024-09-16 09:55:24,1,PS45678,regular
aa89e276-fa2e-4e14-becf-973c098dfab3,Martin Morgan,1969-10-08T14:22:42.903Z,male,GB,silverzebra615,martin.morgan@example.com,01914 393607,07064 798591,https://randomuser.me/api/portraits/men/78.jpg,18,DIST_008,23ed8b4e-4267-4307-9992-bb669c776db3,Joe Crawford,Management Party,A brief bio of the candidate.,Key campaign promises or platform.,https://randomuser.me/api/portraits/men/42.jpg,2024-09-16 09:55:25,1,PS34567,regular
15cbf21d-2f36-4b45-8f24-382846e23fed,Ashley Gonzales,1954-02-14T08:40:46.165Z,female,GB,brownduck605,ashley.gonzales@example.com,0161 030 8433,07944 813092,https://randomuser.me/api/portraits/women/29.jpg,11,DIST_008,23ed8b4e-4267-4307-9992-bb669c776db3,Joe Crawford,Management Party,A brief bio of the candidate.,Key campaign promises or platform.,https://randomuser.me/api/portraits/men/42.jpg,2024-09-16 09:55:25,1,PS78901,regular
dc3e5655-4acd-4c49-9717-43badfd0dcc4,Salvador Rice,1956-09-18T00:36:21.596Z,male,GB,bigkoala377,salvador.rice@example.com,017683 85834,07387 380757,https://randomuser.me/api/portraits/men/66.jpg,7,DIST_005,bffcdbdd-e612-4e50-a2e0-c135fbb908cd,Adrian Pearson,Tech Republic Party,A brief bio of the candidate.,Key campaign promises or platform.,https://randomuser.me/api/portraits/men/22.jpg,2024-09-16 09:55:25,1,PS78901,invalid
495f7c02-3452-465f-9e58-80a5aa07ca59,Eliza Medina,1982-04-22T12:12:36.759Z,female,GB,orangeleopard150,eliza.medina@example.com,015396 40234,07819 198973,https://randomuser.me/api/portraits/women/62.jpg,14,DIST_024,23ed8b4e-4267-4307-9992-bb669c776db3,Joe Crawford,Management Party,A brief bio of the candidate.,Key campaign promises or platform.,https://randomuser.me/api/portraits/men/42.jpg,2024-09-16 09:55:25,1,PS56789,invalid
269bd48c-45e4-4173-a548-4950664daafb,Christian Holland,1978-04-21T19:45:28.152Z,male,GB,crazyleopard331,christian.holland@example.com,016974 13357,07139 648849,https://randomuser.me/api/portraits/men/4.jpg,15,DIST_004,23ed8b4e-4267-4307-9992-bb669c776db3,Joe Crawford,Management Party,A brief bio of the candidate.,Key campaign promises or platform.,https://randomuser.me/api/portraits/men/42.jpg,2024-09-16 09:55:26,1,PS67890,invalid
